code,iso,country,EPI.2022
4,AFG,Afghanistan,"43,6"
24,AGO,Angola,"30,5"
8,ALB,Albania,"47,1"
784,ARE,United Arab Emirates,"52,4"
32,ARG,Argentina,"41,1"
51,ARM,Armenia,"48,3"
28,ATG,Antigua and Barbuda,"52,4"
36,AUS,Australia,"60,1"
40,AUT,Austria,"66,5"
31,AZE,Azerbaijan,"38,6"
108,BDI,Burundi,"30,5"
56,BEL,Belgium,"58,2"
204,BEN,Benin,"29,6"
854,BFA,Burkina Faso,"35,5"
50,BGD,Bangladesh,"23,1"
100,BGR,Bulgaria,"51,9"
48,BHR,Bahrain,42
44,BHS,Bahamas,"56,2"
70,BIH,Bosnia and Herzegovina,"39,4"
112,BLR,Belarus,"48,5"
84,BLZ,Belize,50
68,BOL,Bolivia,"40,1"
76,BRA,Brazil,"43,6"
52,BRB,Barbados,"53,2"
96,BRN,Brunei Darussalam,"45,7"
64,BTN,Bhutan,"42,5"
72,BWA,Botswana,54
140,CAF,Central African Republic,"44,9"
124,CAN,Canada,50
756,CHE,Switzerland,"65,9"
152,CHL,Chile,"46,7"
156,CHN,China,"28,4"
384,CIV,Cote d'Ivoire,"32,8"
120,CMR,Cameroon,"30,2"
180,COD,Dem. Rep. Congo,"36,9"
178,COG,Republic of Congo,"40,1"
170,COL,Colombia,"42,4"
174,COM,Comoros,"42,5"
132,CPV,Cabo Verde,"41,9"
188,CRI,Costa Rica,"46,3"
192,CUB,Cuba,"47,5"
196,CYP,Cyprus,58
203,CZE,Czech Republic,"59,9"
276,DEU,Germany,"62,4"
262,DJI,Djibouti,"47,5"
212,DMA,Dominica,"51,2"
208,DNK,Denmark,"77,9"
214,DOM,Dominican Republic,"42,2"
12,DZA,Algeria,"29,6"
218,ECU,Ecuador,"46,5"
818,EGY,Egypt,"35,5"
232,ERI,Eritrea,"31,7"
724,ESP,Spain,"56,6"
233,EST,Estonia,"61,4"
231,ETH,Ethiopia,"31,8"
246,FIN,Finland,"76,5"
242,FJI,Fiji,"31,3"
250,FRA,France,"62,5"
583,FSM,Micronesia,"37,4"
266,GAB,Gabon,"49,7"
826,GBR,United Kingdom,"77,7"
268,GEO,Georgia,"39,1"
288,GHA,Ghana,"27,7"
324,GIN,Guinea,"31,6"
270,GMB,Gambia,"36,4"
624,GNB,Guinea-Bissau,"40,2"
226,GNQ,Equatorial Guinea,"44,8"
300,GRC,Greece,"56,2"
308,GRD,Grenada,"47,9"
320,GTM,Guatemala,28
328,GUY,Guyana,"38,5"
340,HND,Honduras,"36,5"
191,HRV,Croatia,"60,2"
332,HTI,Haiti,"26,1"
348,HUN,Hungary,"55,1"
360,IDN,Indonesia,"28,2"
356,IND,India,"18,9"
372,IRL,Ireland,"57,4"
364,IRN,Iran,"34,5"
368,IRQ,Iraq,"27,8"
352,ISL,Iceland,"62,8"
376,ISR,Israel,"48,2"
380,ITA,Italy,"57,7"
388,JAM,Jamaica,"45,6"
400,JOR,Jordan,"43,6"
392,JPN,Japan,"57,2"
398,KAZ,Kazakhstan,"40,9"
404,KEN,Kenya,"30,8"
417,KGZ,Kyrgyzstan,"35,7"
116,KHM,Cambodia,"30,1"
296,KIR,Kiribati,49
410,KOR,South Korea,"46,9"
414,KWT,Kuwait,"42,4"
418,LAO,Laos,"30,7"
422,LBN,Lebanon,"32,2"
430,LBR,Liberia,"24,9"
662,LCA,Saint Lucia,"49,4"
144,LKA,Sri Lanka,"34,7"
426,LSO,Lesotho,"32,3"
440,LTU,Lithuania,"55,9"
442,LUX,Luxembourg,"72,3"
428,LVA,Latvia,"61,1"
504,MAR,Morocco,"28,4"
498,MDA,Moldova,"42,7"
450,MDG,Madagascar,28
462,MDV,Maldives,"37,4"
484,MEX,Mexico,"45,5"
584,MHL,Marshall Islands,"36,2"
807,MKD,North Macedonia,"54,3"
466,MLI,Mali,"28,5"
470,MLT,Malta,"75,2"
104,MMR,Myanmar,"19,4"
499,MNE,Montenegro,"46,9"
496,MNG,Mongolia,"29,6"
508,MOZ,Mozambique,"31,7"
478,MRT,Mauritania,"28,1"
480,MUS,Mauritius,"44,8"
454,MWI,Malawi,"40,6"
458,MYS,Malaysia,35
516,NAM,Namibia,"50,9"
562,NER,Niger,"37,7"
566,NGA,Nigeria,"28,3"
558,NIC,Nicaragua,"37,7"
528,NLD,Netherlands,"62,6"
578,NOR,Norway,"59,3"
524,NPL,Nepal,"28,3"
554,NZL,New Zealand,"56,7"
512,OMN,Oman,"30,7"
586,PAK,Pakistan,"24,6"
591,PAN,Panama,"50,5"
604,PER,Peru,"39,8"
608,PHL,Philippines,"28,9"
598,PNG,Papua New Guinea,"24,8"
616,POL,Poland,"50,6"
620,PRT,Portugal,"50,4"
600,PRY,Paraguay,"40,9"
634,QAT,Qatar,33
642,ROU,Romania,56
643,RUS,Russia,"37,5"
646,RWA,Rwanda,"32,8"
682,SAU,Saudi Arabia,"37,9"
729,SDN,Sudan,"27,6"
686,SEN,Senegal,"33,9"
702,SGP,Singapore,"50,9"
90,SLB,Solomon Islands,35
694,SLE,Sierra Leone,"32,7"
222,SLV,El Salvador,"40,8"
688,SRB,Serbia,"43,9"
678,STP,Sao Tome and Principe,"52,9"
740,SUR,Suriname,"45,9"
703,SVK,Slovakia,60
705,SVN,Slovenia,"67,3"
752,SWE,Sweden,"72,7"
748,SWZ,Eswatini,"44,9"
690,SYC,Seychelles,"55,6"
148,TCD,Chad,"28,1"
768,TGO,Togo,34
764,THA,Thailand,"38,1"
762,TJK,Tajikistan,"37,1"
795,TKM,Turkmenistan,37
626,TLS,Timor-Leste,"35,1"
776,TON,Tonga,"43,8"
780,TTO,Trinidad and Tobago,"47,8"
788,TUN,Tunisia,"40,7"
792,TUR,Turkey,"26,3"
158,TWN,Taiwan,"45,3"
834,TZA,Tanzania,"34,2"
800,UGA,Uganda,"35,8"
804,UKR,Ukraine,"49,6"
858,URY,Uruguay,"37,4"
840,USA,United States of America,"51,1"
860,UZB,Uzbekistan,"38,2"
670,VCT,Saint Vincent and the Grenadines,"53,2"
862,VEN,Venezuela,"46,4"
704,VNM,Viet Nam,"20,1"
548,VUT,Vanuatu,"36,9"
882,WSM,Samoa,"36,4"
710,ZAF,South Africa,"37,2"
894,ZMB,Zambia,"38,4"
716,ZWE,Zimbabwe,"46,2"
