Country Name,Country Code,Indicator Name,2021 (person)
Maroc,MAR,"Population, total",37076584
Monaco,MCO,"Population, total",36686
Moldova,MDA,"Population, total",2595809
Madagascar,MDG,"Population, total",28915653
Maldives,MDV,"Population, total",521457
Afrique du Nord et Moyen-Orient,MEA,"Population, total",486174763
Mexique,MEX,"Population, total",126705138
Îles Marshall,MHL,"Population, total",42050
Revenu intermédiaire,MIC,"Population, total",5782549455
Macédoine du Nord,MKD,"Population, total",1837114
Mali,MLI,"Population, total",21904983
Malte,MLT,"Population, total",518536
Myanmar,MMR,"Population, total",53798084
Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,"Population, total",418047201
Monténégro,MNE,"Population, total",619211
Mongolie,MNG,"Population, total",3347782
Mariannes,MNP,"Population, total",49481
Mozambique,MOZ,"Population, total",32077072
Mauritanie,MRT,"Population, total",4614974
Maurice,MUS,"Population, total",1266334
Malawi,MWI,"Population, total",19889742
Malaisie,MYS,"Population, total",33573874
Amérique du Nord,NAC,"Population, total",370352605
Namibie,NAM,"Population, total",2530151
Nouvelle-Calédonie,NCL,"Population, total",270390
Niger,NER,"Population, total",25252722
Nigéria,NGA,"Population, total",213401323
Nicaragua,NIC,"Population, total",6850540
Pays-Bas,NLD,"Population, total",17533044
Norvège,NOR,"Population, total",5408320
Népal,NPL,"Population, total",30034989
Nauru,NRU,"Population, total",12511
Nouvelle-Zélande,NZL,"Population, total",5111300
Pays membres de l'OCDE,OED,"Population, total",1371972508
Oman,OMN,"Population, total",4520471
Autres petits états,OSS,"Population, total",13943732
Pakistan,PAK,"Population, total",231402117
Panama,PAN,"Population, total",4351267
Pérou,PER,"Population, total",33715471
Philippines,PHL,"Population, total",113880328
Palaos,PLW,"Population, total",18024
Papouasie-Nouvelle-Guinée,PNG,"Population, total",9949437
Pologne,POL,"Population, total",37747124
de Pré-dividende démographique,PRE,"Population, total",1011043183
Porto Rico,PRI,"Population, total",3262693
"Corée, République démocratique de",PRK,"Population, total",25971909
Portugal,PRT,"Population, total",10361831
Paraguay,PRY,"Population, total",6703799
