num_pays,code_pays,pays,Dispo_proteine_g_personne_jour,person_2021,Taux_change_unit_devises_local_par_$US_Moy_period,Stabilité_Politique,PIB_par_habitant,lpi_AVG_2007_2022,Inflation_prix_à_la consommation_%_annuel,Governance_Performance,"Cost of animal source foods valeur 
(PPP dollar per person per day)",Corruption_Value,mediane_epi,Quantité_production_poulet_kg_par_pers
196,CYP,Chypre,30.3,1244188.0,17.300494354999998,0.42,26515.35547,2.94,2.446088672,0.7,0.8,0.37,64.8,21.411555166904037
170,COL,Colombie,27.4,51516562.0,3744.244167,-0.95,17591294.23,2.77,3.495057574,-0.05,0.9,-0.37,52.9,32.88912990738784
174,COM,Comores,16.1,821625.0,415.9558491,-0.23,517517.7474,2.43,3.475403203,-1.81,1.4,-1.31,42.5,0.7120036513007759
408,PRK,Corée du Nord,6.0,25971909.0,17.300494354999998,-0.48,57721.568784999996,2.64,3.475403203,-1.58,1.0,-1.62,45.599999999999994,1.1898316754459597
410,KOR,Corée du Sud,34.6,51769539.0,1143.951667,0.63,37062526.29,3.67,2.498333333,1.37,1.4,0.73,62.3,18.06081371518491
188,CRI,Costa Rica,26.7,5153957.0,620.78472,0.86,7235902.877,2.68,1.726477551,0.22,1.0,0.47,52.5,28.680099581738848
191,HRV,Croatie,36.9,3878981.0,6.360083167,0.62,13989.00343,3.0,2.554506996,0.55,1.0,0.04,63.1,15.109638330272821
192,CUB,Cuba,23.2,11256372.0,17.300494354999998,0.39,4560.421422,2.19,3.475403203,-0.25,1.0,-0.03,48.4,1.5918095102045313
531,CUW,Curaçao,25.15,152369.0,1.79,0.18,26891.07397,2.64,3.475403203,-0.045,0.7,-0.055,45.599999999999994,392.3370239353149
384,CIV,Côte d'Ivoire,8.5,27478249.0,554.530675,-0.72,1368845.408,2.71,4.091951897,-0.54,1.4,-0.4,32.8,2.32725891667988
208,DNK,Danemark,28.9,5856733.0,6.287113083,0.93,398330.0748,3.95,1.85304544,1.96,0.6,2.33,81.6,27.84829016449956
262,DJI,Djibouti,7.4,1105557.0,177.721,-0.57,500127.9505,2.18,1.181917753,-0.83,1.3,-0.8,40.04,54.07229116183064
212,DMA,Dominique,36.8,72412.0,2.7,1.33,15349.3896,2.64,1.48319445,-0.12,0.9,0.55,51.2,5.101364414737889
724,ESP,Espagne,42.1,47415794.0,17.300494354999998,0.51,23786.65219,3.73,3.09313512,0.91,0.7,0.72,74.3,28.079462298996827
233,EST,Estonie,27.9,1330932.0,17.300494354999998,0.75,19400.12037,3.18,4.653166738,1.35,0.8,1.51,64.31,17.506529259195812
748,SWZ,Eswatini,12.7,1192271.0,14.78343514,-0.35,39162.63937,2.64,3.475403203,-0.75,1.3,-0.7,40.32,4.6303231396217805
242,FJI,Fidji,20.8,924610.0,2.070633333,0.72,9107.318221,2.27,0.1558557221,0.65,1.1,0.44,34.4,27.81172602502677
246,FIN,Finlande,32.5,5541017.0,17.300494354999998,0.96,41608.96817,3.94,2.194574323,1.92,0.6,2.24,78.64,25.013458720664456
250,FRA,France,38.3,67764304.0,17.300494354999998,0.33,34251.24175,3.81,1.64233141,1.23,0.6,1.28,80.0,16.86728753238578
266,GAB,Gabon,33.5,2341179.0,554.530675,-0.08,2445214.173,2.16,1.086907465,-0.82,1.0,-0.87,45.8,1.7561237308210946
270,GMB,Gambie,7.4,2639916.0,51.48444388,0.04,24773.56143,2.47,7.370347589,-0.68,0.9,-0.38,36.4,0.41614960476015145
288,GHA,Ghana,11.2,32833031.0,5.8057,0.07,5317.574546,2.4,9.971088675,-0.18,1.6,-0.13,27.7,1.98550051623318
292,GIB,Gibraltar,25.15,32669.0,0.7270649447,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,1829.8692950503535
308,GRD,Grenade,35.7,124610.0,2.7,1.04,18039.16219,2.56,1.219511939,0.02,1.0,0.49,47.9,3.3801460556937646
304,GRL,Groenland,25.15,56653.0,17.300494354999998,1.88,277842.3031,2.64,3.475403203,0.75,1.0,1.0,45.599999999999994,1055.1956648368136
300,GRC,Grèce,31.6,10569207.0,17.300494354999998,0.1,17089.38286,3.11,1.22382501,0.41,0.9,0.18,69.1,22.28170949816765
