de dividende précoce démographique,EAR,,"2,429361702","2,538163265","2,578510638","2,67218814","2,59807868","2,561276596","2,741860465","2,578510638"
Asie de l’Est et Pacifique,EAS,,"3,006","3,0055","3,0405","3,12525935","3,069854429","3,131904762","3,326315789","3,069854429"
Europe et Asie centrale (hors revenu élevé),ECA,,"2,256428571","2,500625","2,593125","2,574935688","2,40785075","2,58","2,726666667","2,574935688"
Europe et Asie centrale,ECS,,"3,043181818","3,103617021","3,159787234","3,216693681","3,165583596","3,20893617","3,380434783","3,165583596"
Équateur,ECU,,"2,64","2,6","2,65","2,612717","2,659334","2,75",,"2,645"
"Égypte, République arabe d’",EGY,,"2,38","2,87","2,95","2,990973","3,203985","2,82","2,9","2,9"
Zone euro,EMU,,"3,438421053","3,4015","3,4455","3,52894035","3,54349375","3,491","3,745","3,491"
Érythrée,ERI,,"2,67","1,88","2,03","2,232222","2,24864","2,17",,"2,201111"
Espagne,ESP,,"3,55","3,62","3,69","3,830432","3,728878","3,8","3,9","3,728878"
Estonie,EST,,3,"3,17","2,82","3,266667","3,17635","3,15","3,7","3,17"
Éthiopie,ETH,,2,"2,14","2,16","2,620833","2,367674",,,"2,16"
Union européenne,EUU,,"3,386538462","3,370740741","3,433333333","3,511567074","3,533196259","3,491481481","3,707407407","3,491481481"
Fragile et les situations de conflit touchées,FCS,,"2,23037037","2,283703704","2,272222222","2,344799387","2,295979069","2,309310345","2,404761905","2,295979069"
Finlande,FIN,,"3,85","3,92","4,14","3,722474","3,883877","3,89","4,2","3,89"
Fidji,FJI,,,"2,11","2,18","2,22","2,252244","2,31","2,3","2,236122"
France,FRA,,"3,76","3,87","3,82","3,754644","3,815154","3,84","3,8","3,815154"
Îles Féroé,FRO,,,,,,,,,#NUM!
"Micronésie, États fédérés de",FSM,,,,,,,,,#NUM!
Gabon,GAB,,2,"2,31","2,4","2,25","2,121169","2,07",2,"2,121169"
Royaume-Uni,GBR,,"4,02","3,92","3,93","4,028607","4,04508","4,05","3,7","4,02"
Géorgie,GEO,,,"2,57","2,78","2,439782","2,07702","2,26","2,6","2,504891"
Ghana,GHA,,"1,75","2,42","2,68","2,371832","2,538404","2,51","2,5","2,5"
Gibraltar,GIB,,,,,,,,,#NUM!
Guinée,GIN,,"2,67","2,68","2,59","2,347318","2,542346","2,07","2,7","2,59"
Gambie,GMB,,3,"2,37","2,55","2,222222",,"2,21","2,3","2,335"
Guinée-Bissau,GNB,,2,"1,56","2,58","2,571429","2,074074","2,28","2,9","2,28"
Guinée équatoriale,GNQ,,,,,"2,199074","1,75","2,25",,"2,199074"
Grèce,GRC,,"3,33","2,69","2,76","3,227133","2,910547","3,06","3,8","3,06"
Grenade,GRD,,,,,,,,"2,2","2,2"
Groenland,GRL,,,,,,,,,#NUM!
Guatemala,GTM,,"2,5","2,74","2,78","2,683148","2,297157","2,25","2,7","2,683148"
Guam,GUM,,,,,,,,,#NUM!
Guyana,GUY,,"1,95","2,25","2,33","2,270294","2,659149","2,24","2,6","2,270294"
Revenu élevé,HIC,,"3,3728","3,363773585","3,393461538","3,459099415","3,466353345","3,419636364","3,598181818","3,419636364"
"Chine, RAS de Hong Kong",HKG,,"3,99","3,83","4,08","3,808917","3,99988","3,93",4,"3,99"
Honduras,HND,,"2,41","2,57","2,44","2,469754","2,441143","2,72","2,7","2,469754"
Pays pauvres très endettés (PPTE),HPC,,"2,288888889","2,260294118","2,351875","2,35795127","2,351685111","2,363142857","2,491666667","2,351875"
Croatie,HRV,,"2,83","2,53","2,92",3,"3,214506","3,1","3,4",3
Haïti,HTI,,"2,11","2,46","1,74","2,144756","1,681079","2,19",2,"2,11"
Hongrie,HUN,,"3,07","2,87","3,18","3,33491","3,354928","3,21","3,1","3,18"
BIRD seulement,IBD,,"2,555283019","2,665789474","2,732068966","2,791185579","2,693366864","2,698103448","2,853703704","2,698103448"
BIRD et IDA,IBT,,"2,400733945","2,471","2,558181818","2,587016913","2,528151526","2,537894737","2,704255319","2,537894737"
IDA totale,IDA,,"2,254464286","2,261509434","2,364230769","2,386368397","2,350920527","2,371964286","2,5025","2,364230769"
IDA mélange,IDB,,"2,2375","2,34625","2,361111111","2,487025","2,499811111","2,402222222","2,425","2,402222222"
Indonésie,IDN,,"2,9","2,47","2,85","3,209638","3,000057","3,1","2,9","2,9"
