Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
QCL,Cultures et produits animaux,156,"Chine, continentale",5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,14700000,X,Ciffre de sources internationales
QCL,Cultures et produits animaux,158,"Chine, Taiwan Province de",5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,684423,A,Chiffre officiel
QCL,Cultures et produits animaux,196,Chypre,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,26640,A,Chiffre officiel
QCL,Cultures et produits animaux,170,Colombie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"1694334,9",A,Chiffre officiel
QCL,Cultures et produits animaux,174,Comores,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,585,I,Valeur imputée
QCL,Cultures et produits animaux,178,Congo,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"6883,8",I,Valeur imputée
QCL,Cultures et produits animaux,188,Costa Rica,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,147816,A,Chiffre officiel
QCL,Cultures et produits animaux,384,Côte d'Ivoire,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,63949,A,Chiffre officiel
QCL,Cultures et produits animaux,191,Croatie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,58610,A,Chiffre officiel
QCL,Cultures et produits animaux,192,Cuba,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,17918,A,Chiffre officiel
QCL,Cultures et produits animaux,208,Danemark,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,163100,A,Chiffre officiel
QCL,Cultures et produits animaux,212,Dominique,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"369,4",I,Valeur imputée
QCL,Cultures et produits animaux,818,Égypte,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,2403000,A,Chiffre officiel
QCL,Cultures et produits animaux,222,El Salvador,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"155405,5",A,Chiffre officiel
QCL,Cultures et produits animaux,784,Émirats arabes unis,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,46494,A,Chiffre officiel
QCL,Cultures et produits animaux,218,Équateur,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,489786,A,Chiffre officiel
QCL,Cultures et produits animaux,232,Érythrée,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"1143,2",I,Valeur imputée
QCL,Cultures et produits animaux,724,Espagne,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,1331410,A,Chiffre officiel
